relative_path,format,geometry_blocks,atom_count,composition,ordered_elements_sha256,transition_metal_positions_1based,cat_id_from_filename,ps_id_from_filename,stage_from_filename,blank_line_count,metadata_line_count,parse_status
MD_configurations/cat-10_pho-33_final.txt,headerless element-x-y-z,1,195,C:84;Cl:2;Cu:1;H:87;N:7;O:11;P:2;Zn:1,7b3b9b60a17d938dbd2e3e5507d8956b1bfcfa20a64e34ed6937a1d565e5a6b4,Zn:54;Cu:61,10,33,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-33_initial.txt,headerless element-x-y-z,1,195,C:84;Cl:2;Cu:1;H:87;N:7;O:11;P:2;Zn:1,7b3b9b60a17d938dbd2e3e5507d8956b1bfcfa20a64e34ed6937a1d565e5a6b4,Zn:54;Cu:61,10,33,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-34_final.txt,headerless element-x-y-z,1,188,C:81;Cl:2;Cu:1;H:83;N:7;O:11;P:2;Zn:1,898960ea23d780bee27ac89fd33179ad619085647edf3abb682195c22766bc4a,Zn:54;Cu:61,10,34,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-34_initial.txt,headerless element-x-y-z,1,188,C:81;Cl:2;Cu:1;H:83;N:7;O:11;P:2;Zn:1,898960ea23d780bee27ac89fd33179ad619085647edf3abb682195c22766bc4a,Zn:54;Cu:61,10,34,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-35_final.txt,headerless element-x-y-z,1,189,C:83;Cl:2;Cu:1;H:81;N:7;O:11;P:2;S:1;Zn:1,d14b2d17155b225f81ca888516244a22dc9f42985e7a6d3b532e2ad6cf8fefdb,Zn:54;Cu:61,10,35,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-35_initial.txt,headerless element-x-y-z,1,189,C:83;Cl:2;Cu:1;H:81;N:7;O:11;P:2;S:1;Zn:1,d14b2d17155b225f81ca888516244a22dc9f42985e7a6d3b532e2ad6cf8fefdb,Zn:54;Cu:61,10,35,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-36_final.txt,headerless element-x-y-z,1,203,C:87;Cl:2;Cu:1;H:89;N:7;O:13;P:2;S:1;Zn:1,0a25497cb67cd120e0c763490ecb8680cd3dc5fd3733673115abfe71810e3799,Zn:54;Cu:61,10,36,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-36_initial.txt,headerless element-x-y-z,1,203,C:87;Cl:2;Cu:1;H:89;N:7;O:13;P:2;S:1;Zn:1,0a25497cb67cd120e0c763490ecb8680cd3dc5fd3733673115abfe71810e3799,Zn:54;Cu:61,10,36,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-37_final.txt,headerless element-x-y-z,1,170,C:70;Cl:2;Cu:1;H:77;N:7;O:10;P:2;Zn:1,72d45214a781c614430b74a7bdcb42b2d0030ee9c200bfed6cedaf43dd26f918,Zn:54;Cu:61,10,37,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-37_initial.txt,headerless element-x-y-z,1,170,C:70;Cl:2;Cu:1;H:77;N:7;O:10;P:2;Zn:1,72d45214a781c614430b74a7bdcb42b2d0030ee9c200bfed6cedaf43dd26f918,Zn:54;Cu:61,10,37,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-38_final.txt,headerless element-x-y-z,1,173,C:71;Cl:2;Cu:1;H:79;N:7;O:10;P:2;Zn:1,f549a6f1fcf8f6763a2a34bea7c9824347068ca190153213e26558855c7e3825,Zn:54;Cu:61,10,38,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-38_initial.txt,headerless element-x-y-z,1,173,C:71;Cl:2;Cu:1;H:79;N:7;O:10;P:2;Zn:1,f549a6f1fcf8f6763a2a34bea7c9824347068ca190153213e26558855c7e3825,Zn:54;Cu:61,10,38,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-39_final.txt,headerless element-x-y-z,1,176,C:72;Cl:2;Cu:1;H:81;N:7;O:10;P:2;Zn:1,74fb9f1e6325f61351a2e7a428c0d6e8dba3dfc051bc1a8b8c48e13a0cba5b8c,Zn:54;Cu:61,10,39,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-39_initial.txt,headerless element-x-y-z,1,176,C:72;Cl:2;Cu:1;H:81;N:7;O:10;P:2;Zn:1,74fb9f1e6325f61351a2e7a428c0d6e8dba3dfc051bc1a8b8c48e13a0cba5b8c,Zn:54;Cu:61,10,39,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-3_final.txt,headerless element-x-y-z,1,177,C:79;Cl:2;Cu:1;H:73;N:7;O:11;P:2;S:1;Zn:1,73a229fdb37c4eb9d6b7273cbfe71f10345f26cdd5ec1d8e12bf431222039b23,Zn:54;Cu:61,10,3,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-3_initial.txt,headerless element-x-y-z,1,177,C:79;Cl:2;Cu:1;H:73;N:7;O:11;P:2;S:1;Zn:1,73a229fdb37c4eb9d6b7273cbfe71f10345f26cdd5ec1d8e12bf431222039b23,Zn:54;Cu:61,10,3,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-40_final.txt,headerless element-x-y-z,1,177,C:75;Cl:2;Cu:1;H:79;N:7;O:10;P:2;Zn:1,1ebac69598cd1073037ec1212ff688ed1feb393ec52a3a819279eef2a5b9c7ef,Zn:54;Cu:61,10,40,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-40_initial.txt,headerless element-x-y-z,1,177,C:75;Cl:2;Cu:1;H:79;N:7;O:10;P:2;Zn:1,1ebac69598cd1073037ec1212ff688ed1feb393ec52a3a819279eef2a5b9c7ef,Zn:54;Cu:61,10,40,initial,0,0,all rows finite element-x-y-z
