coupling,row_block,n_rows,term,component,mean_absolute,rms,bias
Jstar,all_1000,1000,total,sum_xyz,0.31172253067263406,0.49451059980418066,0.0002970028334409154
Jstar,all_1000,1000,total,x,0.26368496939345937,0.43477975113762257,0.013197980057846215
Jstar,all_1000,1000,total,y,0.06804662351234876,0.1191177613918401,-0.0015696902194907514
Jstar,all_1000,1000,total,z,0.09485091388172388,0.15736890228852568,-0.011331287004914554
Jstar,first_900,900,cat,sum_xyz,0.22494704319441824,0.38481718111174407,0.015838674441517046
Jstar,first_900,900,cat,x,0.18283564523355292,0.32616158531603634,0.02273630438408358
Jstar,first_900,900,cat,y,0.048172651463035315,0.10645488237307744,-0.004836593084051655
Jstar,first_900,900,cat,z,0.07686379157477383,0.12921904849997215,-0.002061036858514875
Jstar,first_900,900,ps,sum_xyz,0.21230878258662333,0.3724213273603051,-0.013573977744428305
Jstar,first_900,900,ps,x,0.1806435497151962,0.3279763199335888,-0.007671789240439383
Jstar,first_900,900,ps,y,0.04118695839357274,0.08085148300803696,0.0005787625067441095
Jstar,first_900,900,ps,z,0.057543725330676254,0.12093182259961753,-0.006480951010733035
Jstar,first_900,900,cross,sum_xyz,0.09653689115340455,0.1805554934663876,-0.007228048041500426
Jstar,first_900,900,cross,x,0.07778029584951208,0.14754662136015595,-0.005125445006925411
Jstar,first_900,900,cross,y,0.0178474212760631,0.04735959319151032,0.002115722270529388
Jstar,first_900,900,cross,z,0.03472612348426288,0.07481130069289126,-0.004218325305104403
Jstar,first_900,900,first,sum_xyz,0.3663417274122608,0.6081139677229346,0.0022646966970887384
Jstar,first_900,900,first,x,0.3093129419052021,0.5283844518303189,0.015064515143644194
Jstar,first_900,900,first,y,0.07791680007201623,0.14880509775688686,-0.004257830577307544
Jstar,first_900,900,first,z,0.11393500784132085,0.2016805280520273,-0.00854198786924791
Jstar,first_900,900,total,sum_xyz,0.3165647712185345,0.5039196148168684,-0.004963351344411687
Jstar,first_900,900,total,x,0.2674800296540328,0.44182753829555077,0.009939070136718785
